"","ADM_RATE","ACTCMMID","UGDS","TUITIONFEE_IN","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","PFTFTUG1_EF","AGE_ENTRY","yvals","names"
"29147",0.7721,26,1368,19420,12671,7986,5418,1,0.7213,23.324675325,0.6463,"Houghton College"
"29156",0.7098,25,5999,25194,14024,9746,6535,0.7323,1,19.529227148,0.7314,"Ithaca College"
"29160",0.675,27,205,11900,3113,13172,6923,0.6364,0.963,19.875,0.8444,"Jewish Theological Seminary of America"
"29165",0.8046,20,1235,18360,9990,5274,5698,0.8667,1,25.366799205,0.4888,"Keuka College"
"29167",0.6556,18,792,17050,12953,3073,4635,0.1556,0.6156,20.406779661,0.4487,"LIM College"
"29168",0.724,23,2458,21280,11230,7039,6904,0.4753,0.595,21.853559322,0.7176,"Le Moyne College"
"29182",0.5939,22,1800,25920,12339,6120,6163,0.2444,0.99,20.001196172,0.5814,"Manhattanville College"
"29185",0.4964,26,4851,21202,14036,6965,6098,0.3602,0.7208,21.062848454,0.7621,"Marist College"
"29187",0.7774,21,932,21023,14716,7753,6128,1,0.7199,20.225263758,0.506,"Marymount College of Fordham University"
"29188",0.8168,21,1914,18529,14922,7096,6249,0.2746,0.7297,20.302105263,0.4232,"Marymount Manhattan College"
"29207",0.7908,20,2002,16930,13168,4452,5229,0.3213,0.6426,22.763048882,0.5944,"Mount Saint Mary College"
"29212",0.7908,25,2013,19874,12649,8353,6376,0.5212,0.7216,21.62823726,0.7305,"Nazareth College"
"29214",0.6477,19,5386,18300,6857,2695,6596,0.1823,0.7298,32.470958374,0.3612,"The College of New Rochelle"
"29221",0.3669,29,20150,31690,23322,24413,10135,0.4415,0.8726,20.909885309,0.8369,"New York University"
"29223",0.7871,22,2912,19800,10018,4753,6053,0.4211,0.8071,20.227244582,0.6313,"Niagara University"
"29227",0.7131,23,3198,19236,12815,6217,8967,1,0.9729,26.60958231,0.4448,"New York Institute of Technology"
"29228",0.6021,24,1786,19236,13313,6459,8554,0.2933,0.9127,26.60958231,0.3048,"New York Institute of Technology-Manhattan Campus"
"29230",0.9241,20,1976,15550,10279,6294,5391,0.4286,0.3885,29.972396487,0.4348,"Nyack College"
"29236",0.7018,24,8310,25384,15416,8562,9595,0.4225,0.6868,21.783974012,0.5613,"Pace University-New York"
"29243",0.5365,24,3234,27580,18514,8711,6369,0.1349,0.7013,21.094567404,0.6027,"Pratt Institute-Main"
"29253",0.7786,26,4921,31857,16978,16839,9562,0.8214,0.9192,19.808466701,0.8133,"Rensselaer Polytechnic Institute"
"29255",0.8567,23,1408,19324,12189,7818,5325,0.9333,0.6282,25.624584718,0.5836,"Roberts Wesleyan College"
"29258",0.4573,28,4532,30540,14521,29466,9350,0.9388,0.8608,20.366347777,0.8026,"University of Rochester"
"29261",0.8147,23,801,23520,12435,7078,5086,0.9385,0.4958,24.28702011,0.6204,"The Sage Colleges"
"29262",0.2845,19,947,16870,6521,3712,5237,0.9348,0.3386,24.28702011,0.4023,"Sage College of Albany"
"29264",0.8608,22,2058,21450,12365,6617,5480,0.7202,0.7881,19.765368852,0.6808,"St Bonaventure University"
"29268",0.7079,23,3006,17386,11127,6355,5523,0.3717,0.995,20.875219684,0.6509,"The College of Saint Rose"
"29269",0.7603,20,1409,16600,11773,5760,6821,0.4388,0.7471,20.287899861,0.5033,"St. Thomas Aquinas College"
"29275",0.6054,24,3240,20275,11902,7037,7275,1,0.8091,20.01438399,0.7976,"Siena College"
"29277",0.4758,28,2727,32659,21128,13610,6914,0.8429,0.9612,20.366666667,0.7788,"Skidmore College"
"29279",0.8577,24,3820,12934,10512,5075,6397,0.2882,0.5313,24.477707006,0.6329,"Saint Josephs College-Suffolk Campus"
"29286",0.6523,23,2631,19560,12622,5298,4921,0.4688,0.6974,21.294433266,0.6169,"Saint John Fisher College"
"29294",0.6142,20,3187,5348,2509,4807,5242,0.77,0.7834,21.595019157,0.4691,"SUNY College of Technology at Alfred"
"29297",0.8104,19,2445,5345,3133,4289,5555,0.7124,0.8234,20.656183369,0.3838,"SUNY College of Agriculture and Technology at Cobleskill"
"29300",0.5554,25,11680,5887,4474,7488,8242,0.6726,0.6174,20.801962388,0.6164,"SUNY at Albany"
"29301",0.4265,27,11065,5838,4117,6151,7937,0.7082,0.6772,20.716164515,0.7681,"SUNY at Binghamton"
"29302",0.5595,26,17830,6068,5365,9476,8739,0.5857,0.6418,21.237965934,0.5878,"University at Buffalo"
"29304",0.6569,25,1372,5032,3043,11417,7397,0.7692,0.5791,21.546975547,0.626,"SUNY College of Environmental Science and Forestry"
"29306",0.4639,23,6852,4350,3764,6370,6611,0.5247,0.5033,22.139034627,0.5529,"SUNY College at Brockport"
"29307",0.4362,21,8722,5231,3929,7567,6435,0.5244,0.5062,22.896672145,0.3851,"SUNY Buffalo State"
"29309",0.5513,24,5026,5441,3728,5584,6111,0.5791,0.6654,20.311715481,0.6273,"SUNY at Fredonia"
"29310",0.4132,28,5293,5520,3743,5068,5979,0.7034,0.7316,20.200269421,0.7873,"SUNY College at Geneseo"
"29312",0.4534,23,5595,5362,3528,4396,5976,0.5459,0.6777,20.512289326,0.5074,"SUNY Oneonta"
"29313",0.573,23,7000,5322,3699,4627,6037,0.6445,0.6183,21.18546798,0.5426,"SUNY College at Oswego"
"29314",0.7338,23,3570,5289,3788,5579,5735,0.6952,0.6607,21.178853755,0.4439,"SUNY College at Potsdam"
"29315",0.3084,23,3396,5608,4758,6504,6335,0.4349,0.5872,20.980179028,0.4625,"SUNY at Purchase College"
"29317",0.5941,19,3215,4350,3563,4894,6634,0.5081,0.3697,22.803212851,0.3112,"SUNY College at Old Westbury"
"29318",0.616,22,5304,5296,4283,5862,6041,0.5563,0.6305,21.486554321,0.5295,"SUNY College at Plattsburgh"
"29324",0.6467,27,12342,28285,16759,13602,8222,0.6288,0.7843,20.149946978,0.7893,"Syracuse University"
"29339",0.241,28,927,0,714,9495,9302,1,1,19.688741722,0.7269,"United States Merchant Marine Academy"
"29340",0.7918,22,2335,22030,12580,6235,5879,1,0.5806,22.400502197,0.5699,"Utica College"
"29342",0.2856,30,2331,33800,21990,22823,8648,0.9052,0.9296,19.410606061,0.9147,"Vassar College"
"29344",0.6779,23,3003,20080,13550,8237,4441,0.1827,0.5937,21.348579349,0.6323,"School of Visual Arts"
"29345",0.6127,25,1962,25350,15663,7164,6516,0.4752,1,19.994117647,0.6221,"Wagner College"
"29347",0.6502,24,407,15790,10836,12924,6097,0.7059,0.7738,21.07751938,0.5821,"Wells College"
"29364",0.6768,22,12619,3435,3895,5259,6401,0.9737,0.7172,20.950938567,0.6403,"Appalachian State University"
"29370",0.7669,21,862,16726,7489,4134,4859,0.5647,0.5333,26.027108434,0.441,"Belmont Abbey College"
"29371",0.5708,17,572,12664,8646,11963,4563,0.7313,0.8831,19.942168675,0.3702,"Bennett College"
"29374",0.7373,20,582,16590,11127,11096,4153,1,0.6712,20.994350282,0.3015,"Brevard College"
"29377",0.6944,21,301,7400,6877,7885,5008,0.7667,0.1628,26.376811594,0.5294,"Cabarrus College of Health Sciences"
"29387",0.5912,17,796,14750,7344,4306,4550,0.697,0.7246,20.739197531,0.3021,"Chowan University"
"29392",0.2707,30,1678,28667,17312,14879,8424,0.9294,0.9787,19.453757225,0.8662,"Davidson College"
"29393",0.2208,31,6259,31420,15507,34213,10290,0.9187,0.988,21.361514523,0.9337,"Duke University"
"29395",0.7788,21,17593,3687,4426,8781,6436,0.9553,0.681,22.023681516,0.5441,"East Carolina University"
"29397",0.7706,16,2413,2931,2269,5868,5951,0.9552,0.7137,22.24822695,0.4876,"Elizabeth City State University"
"29403",0.7105,21,2574,16065,8631,5365,5233,1,0.3964,26.433411215,0.4552,"Gardner-Webb University"
"29406",0.7249,21,1132,18120,10389,8429,4908,0.5038,0.5318,23.508688784,0.4554,"Greensboro College"
"29407",0.6287,23,2682,21310,8664,5080,4918,0.6811,0.4508,27.823812387,0.4353,"Guilford College"
"29417",0.5289,20,1404,14399,12035,7168,5219,0.7759,0.991,19.677966102,0.3627,"Johnson C Smith University"
"29419",0.7475,20,874,17000,20212,5334,4197,0.5,0.8154,23.541864139,0.2804,"Lees-McRae College"
"29421",0.9346,22,1373,18890,8089,7380,5329,0.5301,0.7021,21.611111111,0.5069,"Lenoir-Rhyne University"
"29423",0.9225,15,895,12174,4302,5912,4619,0.7397,0.9894,21.251223491,0.2121,"Livingstone College"
"29430",0.9487,21,1839,20000,15242,8476,5741,0.52,0.7393,22.872166818,0.6733,"Meredith College"
"29431",0.7705,20,1944,17790,9808,4958,4767,0.5694,0.5981,23.090163934,0.3466,"Methodist University"
"29437",0.7982,21,948,15560,13911,8332,4683,0.5926,0.9433,28.982567353,0.428,"Montreat College"
"29441",0.8276,17,9649,3114,4001,5231,6983,0.6716,0.8066,20.830717686,0.3954,"North Carolina A & T State University"
"29442",0.7294,25,3124,3525,4518,6019,5927,0.9615,0.6197,22.51755102,0.5329,"University of North Carolina at Asheville"
"29443",0.3576,28,16278,4613,6532,22876,9208,0.8831,0.7772,20.859761484,0.8377,"University of North Carolina at Chapel Hill"
"29444",0.7248,22,16225,3549,4594,6570,6880,0.9733,0.5721,22.308143695,0.4875,"University of North Carolina at Charlotte"
"29445",0.777,21,12172,3440,4351,6591,6459,0.9541,0.63,21.925386236,0.5105,"University of North Carolina at Greensboro"
